 ;力量;敏捷;体魄;生命;附加生命;附加生命百分比;攻击;附加攻击;附加攻击百分比;防御;速度;附加速度百分比;命中;闪躲;暴击;破击;反击;高爆;防破;高反;无视防御;伤害减少;仙攻;仙倍;仙破;初始蓄力点数;蓄力速度;力量到攻击加成;敏捷到速度加成;体魄到生命加成
141;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
142;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
143;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
144;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
145;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
146;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
147;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
148;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;
149;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
150;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;
166;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;
167;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;
181;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
182;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;
185;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;
186;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;
187;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;
188;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;
201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
222;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;
223;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;
224;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;
225;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;
226;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;
227;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;
228;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;
229;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;
230;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;
241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;5;;;5;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;10;;;10;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;15;;;15;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;20;;;20;;;;;;;;;;;;;;;;;;;;;
9001;;;;;;;;300;;;;;;;;;;;;;;;;;;;;;;
9002;;;;;;;;600;;;;;;;;;;;;;;;;;;;;;;
9003;;;;;;;;900;;;;;;;;;;;;;;;;;;;;;;
9004;;;;;;;;1350;;;;;;;;;;;;;;;;;;;;;;
9005;;;;;;;;1800;;;;;;;;;;;;;;;;;;;;;;
9006;;;;;;;;2400;;;;;;;;;;;;;;;;;;;;;;
9007;;;;;;;;3000;;;;;;;;;;;;;;;;;;;;;;
9008;;;;;;;;3600;;;;;;;;;;;;;;;;;;;;;;
9009;;;;;;;;4800;;;;;;;;;;;;;;;;;;;;;;
9010;;;;;;;;6000;;;;;;;;;;;;;;;;;;;;;;
9011;;;;;750;;;;;;;;;;;;;;;;;;;;;;;;;
9012;;;;;1500;;;;;;;;;;;;;;;;;;;;;;;;;
9013;;;;;2250;;;;;;;;;;;;;;;;;;;;;;;;;
9014;;;;;3375;;;;;;;;;;;;;;;;;;;;;;;;;
9015;;;;;4500;;;;;;;;;;;;;;;;;;;;;;;;;
9016;;;;;6000;;;;;;;;;;;;;;;;;;;;;;;;;
9017;;;;;7500;;;;;;;;;;;;;;;;;;;;;;;;;
9018;;;;;9000;;;;;;;;;;;;;;;;;;;;;;;;;
9019;;;;;12000;;;;;;;;;;;;;;;;;;;;;;;;;
9020;;;;;15000;;;;;;;;;;;;;;;;;;;;;;;;;
9021;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;
9022;;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;
9023;;;;;;;;;;600;;;;;;;;;;;;;;;;;;;;
9024;;;;;;;;;;800;;;;;;;;;;;;;;;;;;;;
9025;;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;
9026;;;;;;;;;;1200;;;;;;;;;;;;;;;;;;;;
9027;;;;;;;;;;1400;;;;;;;;;;;;;;;;;;;;
9028;;;;;;;;;;1600;;;;;;;;;;;;;;;;;;;;
9029;;;;;;;;;;1800;;;;;;;;;;;;;;;;;;;;
9030;;;;;;;;;;2000;;;;;;;;;;;;;;;;;;;;
9031;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
9032;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
9033;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;
9034;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;
9035;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;
9036;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;
9037;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;
9038;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;
9039;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;
9040;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;
9041;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
9042;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;
9043;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;
9044;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;
9045;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;
9046;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;
9047;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;
9048;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;
9049;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;
9050;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;
9051;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
9052;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
9053;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
9054;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;
9055;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
9056;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;
9057;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;
9058;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;
9059;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;
9060;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
9061;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
9062;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;
9063;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;
9064;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;
9065;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;
9066;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;
9067;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;
9068;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;
9069;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;
9070;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;
9071;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;
9072;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;
9073;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;
9074;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;
9075;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;
9076;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;
9077;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;
9078;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;
9079;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;
9080;;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;
9081;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
9082;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
9083;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;
9084;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;
9085;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;
9086;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;
9087;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;
9088;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;
9089;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;
9090;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;
9091;;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;
9092;;;;;;;;;;;;;;;;;;;;;;;600;;;;;;;
9093;;;;;;;;;;;;;;;;;;;;;;;900;;;;;;;
9094;;;;;;;;;;;;;;;;;;;;;;;1350;;;;;;;
9095;;;;;;;;;;;;;;;;;;;;;;;1800;;;;;;;
9096;;;;;;;;;;;;;;;;;;;;;;;2400;;;;;;;
9097;;;;;;;;;;;;;;;;;;;;;;;3000;;;;;;;
9098;;;;;;;;;;;;;;;;;;;;;;;3600;;;;;;;
9099;;;;;;;;;;;;;;;;;;;;;;;4800;;;;;;;
9100;;;;;;;;;;;;;;;;;;;;;;;6000;;;;;;;
9101;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
9102;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
9103;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
9104;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
9105;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;
9106;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;
9107;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;
9108;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;
9109;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;
9110;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;
9111;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;
9112;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;
9113;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;
9114;;;;;;;;540;;;;;;;;;;;;;;;;;;;;;;
9115;;;;;;;;720;;;;;;;;;;;;;;;;;;;;;;
9116;;;;;;;;960;;;;;;;;;;;;;;;;;;;;;;
9117;;;;;;;;1200;;;;;;;;;;;;;;;;;;;;;;
9118;;;;;;;;1440;;;;;;;;;;;;;;;;;;;;;;
9119;;;;;;;;1920;;;;;;;;;;;;;;;;;;;;;;
9120;;;;;;;;2400;;;;;;;;;;;;;;;;;;;;;;
9121;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;
9122;;;;;600;;;;;;;;;;;;;;;;;;;;;;;;;
9123;;;;;900;;;;;;;;;;;;;;;;;;;;;;;;;
9124;;;;;1350;;;;;;;;;;;;;;;;;;;;;;;;;
9125;;;;;1800;;;;;;;;;;;;;;;;;;;;;;;;;
9126;;;;;2400;;;;;;;;;;;;;;;;;;;;;;;;;
9127;;;;;3000;;;;;;;;;;;;;;;;;;;;;;;;;
9128;;;;;3600;;;;;;;;;;;;;;;;;;;;;;;;;
9129;;;;;4800;;;;;;;;;;;;;;;;;;;;;;;;;
9130;;;;;6000;;;;;;;;;;;;;;;;;;;;;;;;;
9131;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;
9132;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;
9133;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;
9134;;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;
9135;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;
9136;;;;;;;;;;600;;;;;;;;;;;;;;;;;;;;
9137;;;;;;;;;;700;;;;;;;;;;;;;;;;;;;;
9138;;;;;;;;;;800;;;;;;;;;;;;;;;;;;;;
9139;;;;;;;;;;900;;;;;;;;;;;;;;;;;;;;
9140;;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;
9141;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;
9142;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
9143;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;;
9144;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
9145;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;
9146;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;
9147;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;
9148;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;
9149;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;
9150;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;
9151;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
9152;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
9153;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;
9154;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;
9155;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;
9156;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;
9157;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;
9158;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;
9159;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;
9160;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;
9161;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
9162;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
9163;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
9164;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
9165;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
9166;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
9167;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;
9168;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
9169;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;
9170;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;
9171;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
9172;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
9173;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;
9174;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;
9175;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;
9176;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;
9177;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;
9178;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;
9179;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;
9180;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;
9181;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;
9182;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;
9183;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;
9184;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;
9185;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;
9186;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;
9187;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;
9188;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;
9189;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;
9190;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;
9191;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;
9192;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;
9193;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;
9194;;;;;;;;270;;;;;;;;;;;;;;;;;;;;;;
9195;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;
9196;;;;;;;;480;;;;;;;;;;;;;;;;;;;;;;
9197;;;;;;;;600;;;;;;;;;;;;;;;;;;;;;;
9198;;;;;;;;720;;;;;;;;;;;;;;;;;;;;;;
9199;;;;;;;;960;;;;;;;;;;;;;;;;;;;;;;
9200;;;;;;;;1200;;;;;;;;;;;;;;;;;;;;;;
9201;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;
9202;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;
9203;;;;;450;;;;;;;;;;;;;;;;;;;;;;;;;
9204;;;;;675;;;;;;;;;;;;;;;;;;;;;;;;;
9205;;;;;900;;;;;;;;;;;;;;;;;;;;;;;;;
9206;;;;;1200;;;;;;;;;;;;;;;;;;;;;;;;;
9207;;;;;1500;;;;;;;;;;;;;;;;;;;;;;;;;
9208;;;;;1800;;;;;;;;;;;;;;;;;;;;;;;;;
9209;;;;;2400;;;;;;;;;;;;;;;;;;;;;;;;;
9210;;;;;3000;;;;;;;;;;;;;;;;;;;;;;;;;
9211;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;
9212;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;
9213;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;
9214;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;
9215;;;;;;;;;;250;;;;;;;;;;;;;;;;;;;;
9216;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;
9217;;;;;;;;;;350;;;;;;;;;;;;;;;;;;;;
9218;;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;
9219;;;;;;;;;;450;;;;;;;;;;;;;;;;;;;;
9220;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;
9221;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;
9222;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
9223;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;
9224;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
9225;;;;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;
9226;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;
9227;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;
9228;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;
9229;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;
9230;;;;;;;;;;;;;;;;;7.5;;;;;;;;;;;;;
9231;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;
9232;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
9233;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;
9234;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
9235;;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;;;
9236;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;
9237;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;
9238;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;
9239;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;
9240;;;;;;;;;;;;;;;7.5;;;;;;;;;;;;;;;
9241;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
9242;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
9243;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
9244;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
9245;;;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;;
9246;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
9247;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
9248;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
9249;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
9250;;;;;;;;;;;;;;;;7.5;;;;;;;;;;;;;;
9261;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
9262;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
9263;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;
9264;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
9265;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;
9266;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;
9267;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;
9268;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;
9269;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;
9270;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;
9271;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;
9272;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
9273;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;;;
9274;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
9275;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;
9276;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
9277;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;
9278;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;
9279;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;
9280;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;
