名仙ID;开启等级;符文编号;符文名称;Skill_ID;符文说明;类型1;数值1
23;5;2;弥漫;323;使所有被雷电击中的目标都受到麻痹效果，速度降低<font color='#00FF00'>30%</font>。;;
24;0;0;;124;;;
24;2;1;无影;224;大地之力效果触发几率提升至<font color='#00FF00'>70%</font>。;;
24;5;2;护体;324;大地之力效果触发几率<font color='#00FF00'>100%</font>，天崩地裂技能伤害降低至<font color='#00FF00'>40%</font>。;;
25;0;0;;125;;;
25;2;1;嗜血;225;摄取更多魂魄精华，造成伤害的<font color='#00FF00'>50%</font>转化为自身生命。;;
25;5;2;毁灭;325;提升尸鬼封尽斧威力，造成伤害同时降低敌人<font color='#00FF00'>50</font>点聚气。;;
26;0;0;;126;;;
26;2;1;突击;226;加强丈八红尖枪威力，对首要目标伤害提增加至<font color='#00FF00'>35%</font>。;;
26;5;2;威风;326;扩大乾坤圈溅射威力，乾坤圈对所有目标的伤害增加<font color='#00FF00'>20%</font>。;;
27;0;0;;127;;;
27;2;1;骁勇;227;剑气神力的触发几率提升至<font color='#00FF00'>100%</font>。;;
27;5;2;狂暴;327;剑气神力的效果增强，神力触发暴击时伤害提升<font color='#00FF00'>50%</font>。;;
28;0;0;;128;;;
28;2;1;乾坤;228;乾坤法阵触发眩晕几率提升至<font color='#00FF00'>60%</font>。;;
28;5;2;重击;328;乾坤法阵伤害加强，伤害提升<font color='#00FF00'>10%</font>。;;
29;0;0;;129;;;
29;2;1;妙手;229;加强忘情仙汤治疗效果，提升治疗量为伤害值的<font color='#00FF00'>50%</font>。;;
29;5;2;安宁;329;扩大忘情仙汤治疗范围，治疗人数升为<font color='#00FF00'>3</font>人。;;
30;0;0;;130;;;
30;2;1;警觉;230;延长沙石笼罩时间，反击时间延长至<font color='#00FF00'>2</font>回合。;;
30;5;2;复仇;330;加强反击威力，造成的反击伤害提升<font color='#00FF00'>100%</font>。;;
31;0;0;;131;;;
31;2;1;铜人;231;防护盾能力加强，所受到的伤害降低为<font color='#00FF00'>60%</font>。;;
31;5;2;压制;331;增加邪降魔之力额外效果，降低敌人<font color='#00FF00'>20</font>点聚气。;;
32;0;0;;132;;;
32;2;1;疾风;232;集中精神，抢先出手，使得自身速度提升至<font color='#00FF00'>60%</font>。;;
32;5;2;洞察;332;延长自身速度提升持续时间，持续至<font color='#00FF00'>2</font>回合。;;
33;0;0;;133;;;
33;2;1;业火;233;加强火焰威力，灼烧伤害提升<font color='#00FF00'>20%</font>。;;
33;5;2;俱焚;333;灼烧范围扩大至扇形区域，但伤害降低<font color='#00FF00'>30%</font>。;;
34;0;0;;134;;;
34;2;1;刺杀;234;增加飞剑威力，对首要目标伤害提增加至<font color='#00FF00'>40%</font>。;;
34;5;2;冲击;334;扩大飞剑溅射威力，对目标身后单位伤害增加<font color='#00FF00'>20%</font>。;;
35;0;0;;135;;;
35;2;1;威吓;235;加强墨汁侵蚀聚气能力，首要降低<font color='#00FF00'>60%</font>点聚气。;;
35;5;2;破胆;335;扩大墨汁溅射范围，使得扇形区域单位都降低<font color='#00FF00'>30</font>点聚气。;;
36;0;0;;136;无;;
36;2;1;符印1;236;无;;
36;5;2;符印2;336;无;;
37;0;0;;137;无;;
37;2;1;符印1;237;无;;
37;5;2;符印2;337;无;;
38;0;0;;138;无;;
38;2;1;符印1;238;无;;
38;5;2;符印2;338;无;;
39;0;0;;139;无;;
39;2;1;符印1;239;无;;
39;5;2;符印2;339;无;;
40;0;0;;140;无;;
40;2;1;符印1;240;无;;
40;5;2;符印2;340;无;;
41;0;0;;141;无;;
41;2;1;符印1;241;无;;
41;5;2;符印2;341;无;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
